Item ID,Item Name,Category,Version,Item Code
78895639.0,WHX,Product P,36 / B / FtO,91-036-77F-B0C-A-F756CA7
98702722.0,XEB,Product P,34 / A / FtO,27-C04-018-82B-B-E538D3F
24064862.0,HZX,Product B,34 / B / FtO,A6-0EC-617-787-7-5021AB7
38274452.0,NMA,Product F,32 / A / FtO,C1-07C-3A6-961-6-563BC2B
38274452.0,YQX,Product E,35 / B / FtO,94-EE2-E03-21B-7-43D2941
78327122.0,QMB,Product J,34 / B / 32,BF-954-B3B-7DA-E-3F18C05
70926371.0,OTH,Product P,37 / B / 33,D8-6B0-E60-106-3-5BE56BB
93730445.0,KNB,Product P,35 / B / FtO,2F-EC6-CAD-C14-2-5A89957
34589037.0,AYN,Product H,34 / B / FtO,C3-14A-F22-80C-8-9696BDE
96056832.0,RIH,Product P,35 / B / FtO,F8-991-4FA-AB1-B-27A73F3
71375262.0,KNB,Product P,33 / B / FtO,CA-D8D-47B-17F-E-3036E98
17042414.0,XEB,Product P,33 / B / 31,EA-8F2-54C-17A-8-AEA980E
68182077.0,CLH,Product B,34 / C / 31,1D-6D6-5BF-281-A-0C558AC
22559066.0,NMA,Product H,34 / B / FtO,FE-254-83B-987-1-44F2D46
40522014.0,TSH,Product P,31 / A / FtO,48-CBD-767-472-9-7EEC0BF
24064862.0,LQS,Product B,36 / A / FtO,C3-9AF-7FB-075-0-384C320
91378233.0,YYI,Product P,32 / A / 29,AE-446-2E9-30B-E-DCEBDF6
64237685.0,QID,Product H,38 / C / FtO,22-E3C-4B6-EA9-F-5F6BBB2
21324923.0,AYN,Product H,33 / C / FtO,0E-2EE-32E-F02-7-8F55F64
16345004.0,OTH,Product P,40 / B / FtO,DF-40B-970-421-A-DB80D21
40522014.0,NWB,Product D,36 / A / FtO,39-786-4D6-250-A-44E7661
88176838.0,KDP,Product N,L+ / Sl / Lo,12-B0E-AA5-A18-0-3B4F0F4
34467942.0,WHX,Product D,36 / B / FtO,8B-AF6-E40-DDB-1-CF967D6
80307069.0,AYN,Product P,31 / A / 29,83-A2E-AAF-CBC-D-4C02820
24064862.0,HZX,Product B,32 / B / FtO,F0-C11-17C-446-5-9432EA7
10383852.0,FQD,Product O,35 / A / 9,68-B1B-060-E74-4-41A3637
20095790.0,WHX,Product A,33 / B / FtO,5F-43E-65F-156-0-0AD92FE
88419828.0,XEB,Product R,XL / St / Re,7D-6CC-022-120-8-BFDD99F
92567842.0,KNB,Product M,36 / B / FtO,A0-D5A-532-883-4-5C1241A
26922227.0,LQS,Product C,34 / A / FtO,DE-2B7-9DF-C6C-D-0323AD4
48556365.0,YQX,Product H,28 / A / FtO,37-540-1B1-410-A-A5085B6
16345004.0,OTH,Product P,38 / B / FtO,1C-314-66D-995-F-0062F4B
87226152.0,JAF,Product W,31 / A / FtO,2F-3D9-56B-49F-C-2148682
44945143.0,ZQV,Product W,34 / B / FtO,8B-6C7-6E2-4DE-D-7036618
24064862.0,LQS,Product B,31 / B / FtO,49-38A-1E0-5BE-0-E14F799
61310715.0,FQD,Product H,34 / A / FtO,02-10A-DEB-665-9-76E2845
80307069.0,AYN,Product P,30 / A / 28,42-616-5A6-6FE-B-4D5D691
31220529.0,WHX,Product D,33 / B / FtO,1E-6CF-5AF-AA7-E-0D1A481
12910078.0,RIH,Product P,32 / A / 30,C2-BA3-221-5C3-1-09094DF
14526828.0,WHX,Product P,40 / B / FtO,AC-93B-065-BD2-A-5D62CD8
30277881.0,KNB,Product P,32 / B / FtO,C5-B40-3CE-CB1-9-672218E
73544700.0,EKJ,Product O,33 / A / 11,71-00B-F1B-DD2-E-C1EE5A3
24064862.0,QID,Product A,31 / A / FtO,92-C2A-555-D34-0-763849B
32740590.0,NMA,Product D,34 / B / FtO,3D-07C-D1C-EC5-7-3B61B82
38761153.0,YQX,Product N,L+ / Sl / Lo,D3-E1F-0BF-DB4-B-9941437
85931727.0,QID,Product H,36 / A / FtO,94-517-2C8-295-E-51BD869
38761153.0,YQX,Product N,M / Sl / Re,89-47B-BF6-CE1-F-217D2D8
44945143.0,ZQV,Product W,38 / A / FtO,84-3DF-CB0-75A-1-0E6C14E
57946473.0,OHR,Product N,L+ / St / Re,DF-4A1-560-217-7-089EDE1
86566529.0,AYN,Product P,34 / B / 34,3A-A06-BC6-7CD-F-0758223
88419828.0,XEB,Product R,S / Sl / Sh,63-C1F-107-794-4-0D83F24
63821910.0,VXH,Product A,34 / B / 31,F2-B1C-E75-240-E-CE14C3F
97896910.0,CLH,Product B,31 / B / 30,FE-E1F-AEC-DCC-7-4D2389A
16661495.0,VTH,Product Q,35 / C / 29,B1-A81-8C5-43D-6-F8E67A8
45873851.0,OVT,Product U,32 / A / 9,9D-7AB-50C-CB3-4-26B908A
57946473.0,TSH,Product N,M+ / Sl / Re,48-31A-34B-C35-A-3906D49
27215940.0,XEB,Product D,34 / A / FtO,EA-048-158-A25-3-11DAA3E
